Date,Close,Open,High,Low,Vol.,Change %
5/4/10,1.2982,1.3192,1.3215,1.2976,,-1.61%
5/3/10,1.3194,1.3342,1.3342,1.3154,,-0.78%
4/30/10,1.3298,1.3245,1.3345,1.3226,,0.55%
4/29/10,1.3225,1.3204,1.3281,1.3183,,0.08%
4/28/10,1.3214,1.3156,1.3271,1.3115,,0.37%
4/27/10,1.3165,1.3396,1.3415,1.3159,,-1.73%
4/26/10,1.3397,1.3346,1.3398,1.3289,,0.08%
4/23/10,1.3386,1.3286,1.3403,1.3202,,0.70%
4/22/10,1.3293,1.3385,1.3422,1.3258,,-0.70%
4/21/10,1.3387,1.3437,1.3448,1.3357,,-0.38%
4/20/10,1.3438,1.349,1.3524,1.3427,,-0.35%
4/19/10,1.3485,1.3478,1.3498,1.3413,,-0.10%
4/16/10,1.3499,1.358,1.3584,1.3473,,-0.60%
4/15/10,1.358,1.3653,1.3668,1.3518,,-0.53%
4/14/10,1.3653,1.3617,1.3679,1.3596,,0.34%
4/13/10,1.3607,1.3584,1.3627,1.3545,,0.15%
4/12/10,1.3586,1.3622,1.3693,1.3563,,0.64%
4/9/10,1.3499,1.336,1.3503,1.3341,,1.04%
4/8/10,1.336,1.3337,1.3368,1.328,,0.15%
4/7/10,1.334,1.3396,1.3409,1.3323,,-0.44%
4/6/10,1.3399,1.3483,1.3497,1.3354,,-0.65%
4/5/10,1.3486,1.3491,1.3541,1.3461,,-0.13%
4/2/10,1.3504,1.3584,1.3593,1.3474,,-0.57%
4/1/10,1.3582,1.351,1.3592,1.3457,,0.52%
3/31/10,1.3512,1.3415,1.355,1.3384,,0.74%
3/30/10,1.3413,1.3479,1.354,1.3394,,-0.48%
3/29/10,1.3478,1.3488,1.3508,1.3418,,0.48%
3/26/10,1.3413,1.328,1.3428,1.3268,,1.01%
3/25/10,1.3279,1.3316,1.3386,1.3266,,-0.26%
3/24/10,1.3314,1.3495,1.3502,1.3304,,-1.38%
3/23/10,1.35,1.3563,1.3571,1.3474,,-0.41%
3/22/10,1.3556,1.3525,1.3569,1.3462,,0.16%
3/19/10,1.3534,1.3607,1.3629,1.3502,,-0.54%
3/18/10,1.3607,1.3732,1.3743,1.3583,,-0.95%
3/17/10,1.3738,1.377,1.3818,1.3725,,-0.25%
3/16/10,1.3772,1.3677,1.3786,1.3657,,0.70%
3/15/10,1.3676,1.3777,1.3779,1.3639,,-0.63%
3/12/10,1.3763,1.3678,1.3798,1.3668,,0.61%
3/11/10,1.3679,1.3656,1.3689,1.3618,,0.14%
3/10/10,1.366,1.36,1.368,1.3543,,0.43%
3/9/10,1.3601,1.363,1.3636,1.3535,,-0.21%
3/8/10,1.363,1.3632,1.3706,1.3607,,0.06%
3/5/10,1.3622,1.3581,1.363,1.3527,,0.31%
3/4/10,1.358,1.3695,1.3714,1.355,,-0.88%
3/3/10,1.37,1.3616,1.3738,1.3592,,0.70%
3/2/10,1.3605,1.3557,1.3623,1.3433,,0.32%
3/1/10,1.3561,1.3624,1.3657,1.3458,,-0.48%
2/26/10,1.3626,1.3548,1.3685,1.3531,,0.52%
2/25/10,1.3556,1.3536,1.3572,1.3451,,0.18%
2/24/10,1.3531,1.351,1.3627,1.3501,,0.19%
2/23/10,1.3506,1.3592,1.3693,1.3495,,-0.68%
2/22/10,1.3598,1.3636,1.3653,1.3571,,-0.12%
2/19/10,1.3615,1.3529,1.3619,1.3443,,-0.01%
2/18/10,1.3617,1.3606,1.3656,1.3539,,0.08%
2/17/10,1.3606,1.3765,1.379,1.3585,,-1.18%
2/16/10,1.3769,1.3596,1.3779,1.3588,,1.25%
2/15/10,1.3599,1.3614,1.3636,1.3579,,-0.14%
2/12/10,1.3618,1.3694,1.3699,1.3532,,-0.47%
2/11/10,1.3682,1.3732,1.3802,1.3594,,-0.33%
2/10/10,1.3727,1.3792,1.3816,1.3676,,-0.46%
2/9/10,1.379,1.3651,1.384,1.3642,,1.00%
2/8/10,1.3653,1.3664,1.3714,1.362,,-0.08%
